Type,LGA_Name_2021,Telephone,Email,Website
City of,Albany,(08) 6820 3000,staff@albany.wa.gov.au,www.albany.wa.gov.au
City of,Armadale,(08) 9394 5000,info@armadale.wa.gov.au,www.armadale.wa.gov.au
Shire of,Ashburton,(08) 9188 4444,soa@ashburton.wa.gov.au,www.ashburton.wa.gov.au
Shire of,Augusta Margaret River,(08) 9780 5255,amrshire@amrshire.wa.gov.au,www.amrshire.wa.gov.au
Town of,Bassendean,(08) 9377 8000,mail@bassendean.wa.gov.au,www.bassendean.wa.gov.au
City of,Bayswater,(08) 9272 0622,mail@bayswater.wa.gov.au,www.bayswater.wa.gov.au
City of,Belmont,(08) 9477 7222,belmont@belmont.wa.gov.au,www.belmont.wa.gov.au
Shire of,Beverley,(08) 9646 1200,admin@beverley.wa.gov.au,www.beverley.wa.gov.au
Shire of,Boddington,(08) 9883 4999,shire@boddington.wa.gov.au,www.boddington.wa.gov.au
Shire of,Boyup Brook,(08) 9765 1200,shire@boyupbrook.wa.gov.au,www.boyupbrook.wa.gov.au
Shire of,Bridgetown-Greenbushes,(08) 9761 0800,btnshire@bridgetown.wa.gov.au,www.bridgetown.wa.gov.au
Shire of,Brookton,(08) 9642 1106,mail@brookton.wa.gov.au,www.brookton.wa.gov.au
Shire of,Broome,(08) 9191 3456,shire@broome.wa.gov.au,www.broome.wa.gov.au
Shire of,Broomehill-Tambellup,(08) 9825 3555,mail@shirebt.wa.gov.au,www.shirebt.wa.gov.au
Shire of,Bruce Rock,(08) 9061 1377,admin@brucerock.wa.gov.au,www.brucerock.wa.gov.au
City of,Bunbury,(08) 9792 7000,records@bunbury.wa.gov.au,www.bunbury.wa.gov.au
City of,Busselton,(08) 9781 0444,city@busselton.wa.gov.au,www.busselton.wa.gov.au
Town of,Cambridge,(08) 9347 6000,mail@cambridge.wa.gov.au,www.cambridge.wa.gov.au
City of,Canning,1300 422 664,Contact electronically via the website,www.canning.wa.gov.au
Shire of,Capel,(08) 9727 0222,info@capel.wa.gov.au,www.capel.wa.gov.au
Shire of,Carnamah,(08) 9951 7000,shire@carnamah.wa.gov.au,www.carnamah.wa.gov.au
Shire of,Carnarvon,(08) 9941 0000,shire@carnarvon.wa.gov.au,www.carnarvon.wa.gov.au
Shire of,Chapman Valley,(08) 9920 5011,cso@chapmanvalley.wa.gov.au,www.chapmanvalley.wa.gov.au
Shire of,Chittering,(08) 9576 4600,chatter@chittering.wa.gov.au,www.chittering.wa.gov.au
Shire of,Christmas Island,(08) 9164 8300,admin@shire.gov.cx,www.shire.gov.cx
Town of,Claremont,(08) 9285 4300,toc@claremont.wa.gov.au,www.claremont.wa.gov.au
City of,Cockburn,(08) 9411 3444,customer@cockburn.wa.gov.au,www.cockburn.wa.gov.au
Shire of,Cocos (Keeling) Islands,(08) 9162 6649,info@cocos.wa.gov.au,www.shire.cc/en
Shire of,Collie,(08) 9734 9000,colshire@collie.wa.gov.au,www.collie.wa.gov.au
Shire of,Coolgardie,(08) 9080 2111,mail@coolgardie.wa.gov.au,www.coolgardie.wa.gov.au
Shire of,Coorow,(08) 9952 0100,admin@coorow.wa.gov.au,www.coorow.wa.gov.au
Shire of,Corrigin,(08) 9063 2203,shire@corrigin.wa.gov.au,www.corrigin.wa.gov.au
Town of,Cottesloe,(08) 9285 5000,town@cottesloe.wa.gov.au,www.cottesloe.wa.gov.au
Shire of,Cranbrook,(08) 9826 1008,admin@cranbrook.wa.gov.au,www.cranbrook.wa.gov.au
Shire of,Cuballing,(08) 9883 6031,enquiries@cuballing.wa.gov.au,www.cuballing.wa.gov.au
Shire of,Cue,(08) 9963 8600,shire@cue.wa.gov.au,www.cue.wa.gov.au
Shire of,Cunderdin,(08) 9635 2700,admin@cunderdin.wa.gov.au,www.cunderdin.wa.gov.au
Shire of,Dalwallinu,(08) 9661 0500,shire@dalwallinu.wa.gov.au,www.dalwallinu.wa.gov.au
Shire of,Dandaragan,(08) 9652 0800,council@dandaragan.wa.gov.au,www.dandaragan.wa.gov.au
Shire of,Dardanup,(08) 9724 0000,records@dardanup.wa.gov.au,www.dardanup.wa.gov.au
Shire of,Denmark,(08) 9848 0300,enquiries@denmark.wa.gov.au,www.denmark.wa.gov.au
Shire of,Derby-West Kimberley,(08) 9191 0999,sdwk@sdwk.wa.gov.au,www.sdwk.wa.gov.au
Shire of,Donnybrook-Balingup,(08) 9780 4200,shire@donnybrook.wa.gov.au,www.donnybrook-balingup.wa.gov.au
Shire of,Dowerin,(08) 9631 1202,dowshire@dowerin.wa.gov.au,www.dowerin.wa.gov.au
Shire of,Dumbleyung,(08) 9863 4012,ceo@dumbleyung.wa.gov.au,www.dumbleyung.wa.gov.au
Shire of,Dundas,(08) 9039 1205,shire@dundas.wa.gov.au,www.dundas.wa.gov.au
Town of,East Fremantle,(08) 9339 9339,admin@eastfremantle.wa.gov.au,www.eastfremantle.wa.gov.au
Shire of,East Pilbara,(08) 9175 8000,admin@eastpilbara.wa.gov.au,www.eastpilbara.wa.gov.au
Shire of,Esperance,(08) 9071 0666,shire@esperance.wa.gov.au,www.esperance.wa.gov.au
Shire of,Exmouth,(08) 9949 3000,info@exmouth.wa.gov.au,www.exmouth.wa.gov.au
City of,Fremantle,1300 693 736,info@fremantle.wa.gov.au,www.fremantle.wa.gov.au
Shire of,Gingin,(08) 9575 5100,mail@gingin.wa.gov.au,www.gingin.wa.gov.au
Shire of,Gnowangerup,(08) 9827 1007,gnpshire@gnowangerup.wa.gov.au,www.gnowangerup.wa.gov.au
Shire of,Goomalling,(08) 9629 1101,goshire@goomalling.wa.gov.au,www.goomalling.wa.gov.au
City of,Gosnells,(08) 9397 3000,council@gosnells.wa.gov.au,www.gosnells.wa.gov.au
City of,Greater Geraldton,(08) 9956 6600,council@cgg.wa.gov.au,www.cgg.wa.gov.au
Shire of,Halls Creek,(08) 9168 6007,hcshire@hcshire.wa.gov.au,www.hallscreek.wa.gov.au
Shire of,Harvey,(08) 9729 0300,shire@harvey.wa.gov.au,www.harvey.wa.gov.au
Shire of,Irwin,(08) 9927 0000,reception@irwin.wa.gov.au,www.irwin.wa.gov.au
Shire of,Jerramungup,(08) 9835 1022,council@jerramungup.wa.gov.au,www.jerramungup.wa.gov.au
City of,Joondalup,(08) 9400 4000,info@joondalup.wa.gov.au,www.joondalup.wa.gov.au
City of,Kalamunda,(08) 9257 9999,enquiries@kalamunda.wa.gov.au,www.kalamunda.wa.gov.au
City of,Kalgoorlie-Boulder,(08) 9021 9600,mailbag@ckb.wa.gov.au,www.ckb.wa.gov.au
City of,Karratha,(08) 9186 8555,enquiries@karratha.wa.gov.au,www.karratha.wa.gov.au
Shire of,Katanning,(08) 9821 9999,admin@katanning.wa.gov.au,www.katanning.wa.gov.au
